,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,0.9640287769784173,0.9640287769784173,0.9136690647482014,0.9640287769784173,0.9640287769784173,0.9640287769784173
2,10,0.9280575539568345,0.9280575539568345,0.8776978417266187,0.9280575539568345,0.9280575539568345,0.9280575539568345
3,15,0.8920863309352518,0.8920863309352518,0.841726618705036,0.8920863309352518,0.8920863309352518,0.8705035971223022
4,20,0.8561151079136691,0.8561151079136691,0.7194244604316546,0.8561151079136691,0.8561151079136691,0.8345323741007195
5,25,0.8201438848920863,0.8201438848920863,0.6258992805755396,0.39568345323741005,0.8201438848920863,0.7985611510791367
6,30,0.7841726618705036,0.7338129496402878,0.49640287769784175,0.38848920863309355,0.7841726618705036,0.4316546762589928
7,35,0.6115107913669064,0.6115107913669064,0.37410071942446044,0.3525179856115108,0.39568345323741005,0.4316546762589928
8,40,0.4244604316546763,0.41726618705035967,0.2517985611510791,0.3525179856115108,0.3597122302158273,0.39568345323741005
9,45,0.3237410071942446,0.24460431654676262,0.16546762589928055,0.16546762589928055,0.28057553956834536,0.2158273381294964
10,50,0.16546762589928055,0.17266187050359716,0.08633093525179858,0.07913669064748197,0.1079136690647482,0.09352517985611508
11,55,0.13669064748201443,0.13669064748201443,0.08633093525179858,0.06474820143884896,0.07913669064748197,0.09352517985611508
12,60,0.1079136690647482,0.1079136690647482,0.08633093525179858,0.05035971223021585,0.06474820143884896,0.06474820143884896
13,65,0.1079136690647482,0.1079136690647482,0.05755395683453235,0.05035971223021585,0.06474820143884896,0.06474820143884896
14,70,0.03597122302158273,0.1079136690647482,0.05035971223021585,0.05035971223021585,0.06474820143884896,0.043165467625899234
15,75,0.03597122302158273,0.06474820143884896,0.05035971223021585,0.043165467625899234,0.043165467625899234,0.03597122302158273
16,80,0.03597122302158273,0.03597122302158273,0.05035971223021585,0.03597122302158273,0.03597122302158273,0.03597122302158273
17,85,0.02877697841726623,0.02877697841726623,0.05035971223021585,0.02877697841726623,0.02877697841726623,0.02877697841726623
18,90,0.02877697841726623,0.02877697841726623,0.05035971223021585,0.02877697841726623,0.02877697841726623,0.02877697841726623
19,95,0.021582733812949617,0.02877697841726623,0.05035971223021585,0.02877697841726623,0.021582733812949617,0.021582733812949617
20,100,0.021582733812949617,0.021582733812949617,0.043165467625899234,0.021582733812949617,0.021582733812949617,0.021582733812949617
21,105,0.021582733812949617,0.021582733812949617,0.03597122302158273,0.021582733812949617,0.021582733812949617,0.021582733812949617
22,110,0.014388489208633115,0.021582733812949617,0.021582733812949617,0.014388489208633115,0.014388489208633115,0.014388489208633115
23,115,0.014388489208633115,0.014388489208633115,0.021582733812949617,0.014388489208633115,0.014388489208633115,0.014388489208633115
24,120,0.014388489208633115,0.014388489208633115,0.021582733812949617,0.014388489208633115,0.014388489208633115,0.014388489208633115
25,125,0.007194244604316502,0.014388489208633115,0.021582733812949617,0.007194244604316502,0.007194244604316502,0.007194244604316502
26,130,0.007194244604316502,0.014388489208633115,0.021582733812949617,0.007194244604316502,0.007194244604316502,0.007194244604316502
