,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
0,0,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647
1,5,17.62686567164179,17.64179104477612,18.34328358208955,17.671641791044777,17.686567164179106,18.52238805970149
2,10,15.023255813953488,15.085271317829458,15.674418604651162,15.069767441860465,15.581395348837209,17.72093023255814
3,15,12.758064516129032,12.790322580645162,13.596774193548388,13.016129032258064,14.838709677419354,14.32258064516129
4,20,10.873949579831933,10.941176470588236,12.336134453781513,11.428571428571429,14.655462184873949,12.201680672268907
5,25,9.31578947368421,9.350877192982455,11.43859649122807,10.368421052631579,12.368421052631579,10.263157894736842
6,30,8.036697247706423,8.055045871559633,10.568807339449542,8.587155963302752,10.568807339449542,9.045871559633028
7,35,6.9423076923076925,6.9423076923076925,9.461538461538462,7.865384615384615,9.423076923076923,7.5
8,40,6.141414141414141,6.141414141414141,8.262626262626263,6.404040404040404,7.757575757575758,6.909090909090909
9,45,5.425531914893617,5.468085106382978,6.446808510638298,5.787234042553192,6.48936170212766,6.25531914893617
10,50,4.831460674157303,4.786516853932584,5.685393258426966,5.303370786516854,5.707865168539326,5.46067415730337
11,55,4.190476190476191,4.190476190476191,5.166666666666667,4.571428571428571,4.904761904761905,4.666666666666667
12,60,3.670886075949367,3.670886075949367,4.556962025316456,3.9746835443037973,4.151898734177215,3.949367088607595
13,65,3.27027027027027,3.2972972972972974,3.864864864864865,3.5135135135135136,3.6486486486486487,3.3783783783783785
14,70,2.8405797101449277,3.101449275362319,3.4782608695652173,3.1884057971014492,3.217391304347826,3.0144927536231885
15,75,2.625,2.6875,3.15625,2.65625,2.8125,2.53125
16,80,2.305084745762712,2.305084745762712,3.016949152542373,2.2711864406779663,2.3389830508474576,2.2033898305084745
17,85,1.962962962962963,2.1481481481481484,2.6666666666666665,2.111111111111111,1.962962962962963,2.037037037037037
18,90,1.6326530612244898,1.7959183673469388,2.4489795918367347,1.836734693877551,1.6326530612244898,1.7551020408163265
19,95,1.3181818181818181,1.5,2.409090909090909,1.5454545454545454,1.4545454545454546,1.4545454545454546
20,100,1.0256410256410255,1.2820512820512822,2.051282051282051,1.2820512820512822,1.1794871794871795,1.1794871794871795
21,105,0.8235294117647058,0.9411764705882353,1.411764705882353,0.9411764705882353,0.9411764705882353,0.8235294117647058
22,110,0.6206896551724138,0.8275862068965517,0.9655172413793104,0.6896551724137931,0.7586206896551724,0.6206896551724138
23,115,0.5,0.5,0.9166666666666666,0.4166666666666667,0.5,0.5
24,120,0.21052631578947367,0.5263157894736842,0.631578947368421,0.10526315789473684,0.3157894736842105,0.21052631578947367
25,125,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,0.0
26,130,0.0,0.4444444444444444,0.6666666666666666,0.0,0.0,0.0
