,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,0.9640287769784173,0.9640287769784173,0.9136690647482014,0.9640287769784173,0.9640287769784173,0.9640287769784173
2,10,0.9280575539568345,0.9280575539568345,0.8776978417266187,0.9280575539568345,0.9280575539568345,0.9280575539568345
3,15,0.8920863309352518,0.8920863309352518,0.841726618705036,0.8920863309352518,0.8920863309352518,0.8920863309352518
4,20,0.8561151079136691,0.8561151079136691,0.8057553956834532,0.8561151079136691,0.8561151079136691,0.8561151079136691
5,25,0.8201438848920863,0.8201438848920863,0.6258992805755396,0.8129496402877698,0.8201438848920863,0.7985611510791367
6,30,0.7841726618705036,0.7841726618705036,0.5107913669064748,0.41726618705035967,0.7841726618705036,0.762589928057554
7,35,0.5827338129496402,0.6690647482014389,0.47482014388489213,0.36690647482014394,0.38848920863309355,0.4676258992805755
8,40,0.4676258992805755,0.4676258992805755,0.28776978417266186,0.3381294964028777,0.3597122302158273,0.4316546762589928
9,45,0.4532374100719424,0.4244604316546763,0.17985611510791366,0.302158273381295,0.18705035971223016,0.18705035971223016
10,50,0.41726618705035967,0.3093525179856115,0.1294964028776978,0.302158273381295,0.18705035971223016,0.17266187050359716
11,55,0.26618705035971224,0.26618705035971224,0.08633093525179858,0.1294964028776978,0.09352517985611508,0.09352517985611508
12,60,0.14388489208633093,0.26618705035971224,0.05755395683453235,0.12230215827338131,0.09352517985611508,0.08633093525179858
13,65,0.1079136690647482,0.09352517985611508,0.05755395683453235,0.12230215827338131,0.07194244604316546,0.08633093525179858
14,70,0.06474820143884896,0.09352517985611508,0.05755395683453235,0.05755395683453235,0.043165467625899234,0.08633093525179858
15,75,0.06474820143884896,0.05755395683453235,0.05755395683453235,0.05755395683453235,0.043165467625899234,0.08633093525179858
16,80,0.05035971223021585,0.05755395683453235,0.05035971223021585,0.05035971223021585,0.03597122302158273,0.08633093525179858
17,85,0.03597122302158273,0.02877697841726623,0.05035971223021585,0.05035971223021585,0.03597122302158273,0.03597122302158273
18,90,0.02877697841726623,0.02877697841726623,0.05035971223021585,0.03597122302158273,0.03597122302158273,0.03597122302158273
19,95,0.021582733812949617,0.021582733812949617,0.05035971223021585,0.03597122302158273,0.02877697841726623,0.03597122302158273
20,100,0.021582733812949617,0.021582733812949617,0.05035971223021585,0.02877697841726623,0.02877697841726623,0.02877697841726623
21,105,0.021582733812949617,0.021582733812949617,0.03597122302158273,0.02877697841726623,0.02877697841726623,0.02877697841726623
22,110,0.014388489208633115,0.021582733812949617,0.03597122302158273,0.02877697841726623,0.021582733812949617,0.02877697841726623
23,115,0.014388489208633115,0.021582733812949617,0.021582733812949617,0.014388489208633115,0.021582733812949617,0.021582733812949617
24,120,0.014388489208633115,0.014388489208633115,0.021582733812949617,0.014388489208633115,0.021582733812949617,0.021582733812949617
25,125,0.007194244604316502,0.014388489208633115,0.021582733812949617,0.014388489208633115,0.007194244604316502,0.007194244604316502
26,130,0.007194244604316502,0.014388489208633115,0.021582733812949617,0.007194244604316502,0.007194244604316502,0.007194244604316502
