,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
0,0,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647
1,5,17.71641791044776,17.73134328358209,19.253731343283583,18.417910447761194,18.149253731343283,18.850746268656717
2,10,15.224806201550388,15.224806201550388,16.356589147286822,15.767441860465116,15.891472868217054,17.72093023255814
3,15,12.903225806451612,12.82258064516129,14.129032258064516,13.580645161290322,14.838709677419354,14.919354838709678
4,20,11.07563025210084,11.008403361344538,12.722689075630251,12.016806722689076,14.655462184873949,13.3109243697479
5,25,9.385964912280702,9.421052631578947,11.929824561403509,10.771929824561404,12.368421052631579,11.24561403508772
6,30,8.440366972477063,8.20183486238532,11.082568807339449,10.110091743119266,10.917431192660551,10.073394495412844
7,35,7.230769230769231,7.115384615384615,9.51923076923077,9.365384615384615,9.673076923076923,9.576923076923077
8,40,6.181818181818182,6.242424242424242,8.94949494949495,8.222222222222221,8.666666666666666,7.696969696969697
9,45,5.574468085106383,5.531914893617022,6.914893617021277,7.404255319148936,7.191489361702128,6.446808510638298
10,50,5.325842696629214,5.123595505617978,5.842696629213483,6.786516853932584,5.977528089887641,5.415730337078652
11,55,4.523809523809524,4.428571428571429,4.976190476190476,5.785714285714286,5.309523809523809,5.0476190476190474
12,60,3.9746835443037973,4.050632911392405,4.329113924050633,4.936708860759493,4.6835443037974684,4.405063291139241
13,65,3.3783783783783785,3.4324324324324325,3.72972972972973,4.351351351351352,3.810810810810811,3.864864864864865
14,70,2.927536231884058,2.927536231884058,3.5072463768115942,3.739130434782609,3.130434782608696,3.391304347826087
15,75,2.6875,2.59375,3.25,3.21875,2.78125,2.90625
16,80,2.3728813559322033,2.4745762711864407,2.847457627118644,2.8135593220338984,2.440677966101695,2.6440677966101696
17,85,2.074074074074074,2.037037037037037,2.5555555555555554,2.5555555555555554,2.2962962962962963,2.4074074074074074
18,90,1.6734693877551021,1.7551020408163265,2.4081632653061225,2.122448979591837,2.0408163265306123,2.2448979591836733
19,95,1.4545454545454546,1.5909090909090908,2.3181818181818183,1.8181818181818181,1.6363636363636365,2.0
20,100,1.2307692307692308,1.3846153846153846,2.41025641025641,1.5384615384615385,1.435897435897436,1.5384615384615385
21,105,0.8823529411764706,1.0588235294117647,1.7058823529411764,1.3529411764705883,1.1764705882352942,1.2941176470588236
22,110,0.6206896551724138,0.8275862068965517,1.3793103448275863,1.1724137931034482,0.8275862068965517,1.103448275862069
23,115,0.4166666666666667,0.6666666666666666,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666
24,120,0.21052631578947367,0.5263157894736842,0.7368421052631579,0.42105263157894735,0.5263157894736842,0.5263157894736842
25,125,0.0,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.0,0.0
26,130,0.0,0.4444444444444444,0.6666666666666666,0.0,0.0,0.0
