,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
0,0,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647,21.151079136690647
1,1,20.26086956521739,20.26086956521739,21.08695652173913,20.6231884057971,20.6231884057971,20.579710144927535
2,2,19.474452554744527,19.474452554744527,20.35036496350365,20.18978102189781,19.8978102189781,20.0
3,3,18.75,18.75,19.955882352941178,19.470588235294116,19.470588235294116,19.485294117647058
4,4,18.28148148148148,18.28148148148148,19.496296296296297,18.696296296296296,18.918518518518518,19.288888888888888
5,5,17.746268656716417,17.746268656716417,18.925373134328357,18.28358208955224,18.686567164179106,18.850746268656717
6,6,17.18796992481203,17.203007518796994,18.42105263157895,17.74436090225564,17.81954887218045,18.330827067669173
7,7,16.71212121212121,16.651515151515152,17.90909090909091,17.515151515151516,17.28787878787879,17.954545454545453
8,8,16.229007633587788,16.15267175572519,17.374045801526716,16.977099236641223,16.53435114503817,17.801526717557252
9,9,15.707692307692307,15.615384615384615,16.815384615384616,16.50769230769231,16.0,17.661538461538463
10,10,15.224806201550388,15.162790697674419,16.372093023255815,16.0,15.581395348837209,17.72093023255814
11,11,14.6875,14.703125,16.140625,15.46875,15.46875,17.015625
12,12,14.188976377952756,14.204724409448819,15.968503937007874,15.039370078740157,15.244094488188976,16.4251968503937
13,13,13.793650793650794,13.714285714285714,15.507936507936508,14.206349206349206,15.079365079365079,16.015873015873016
14,14,13.312,13.2,15.248,13.808,15.008,15.664
15,15,13.048387096774194,12.82258064516129,15.225806451612904,13.306451612903226,14.838709677419354,15.161290322580646
16,16,12.552845528455284,12.390243902439025,15.089430894308943,13.05691056910569,14.699186991869919,14.699186991869919
17,17,12.147540983606557,12.0,14.98360655737705,12.655737704918034,14.754098360655737,14.327868852459016
18,18,11.71900826446281,11.636363636363637,14.132231404958677,12.49586776859504,14.62809917355372,13.884297520661157
19,19,11.35,11.35,13.383333333333333,12.266666666666667,14.633333333333333,13.166666666666666
20,20,11.07563025210084,10.957983193277311,12.957983193277311,12.067226890756302,14.655462184873949,12.352941176470589
21,21,10.745762711864407,10.677966101694915,12.542372881355933,11.627118644067796,14.135593220338983,11.864406779661017
22,22,10.35897435897436,10.324786324786325,12.273504273504274,11.282051282051283,13.709401709401709,11.726495726495726
23,23,10.0,9.96551724137931,11.931034482758621,10.948275862068966,13.206896551724139,11.327586206896552
24,24,9.73913043478261,9.652173913043478,11.443478260869565,10.782608695652174,12.817391304347826,11.060869565217391
25,25,9.385964912280702,9.403508771929825,11.350877192982455,10.596491228070175,12.421052631578947,10.894736842105264
26,26,9.185840707964601,9.061946902654867,10.831858407079647,10.424778761061948,12.035398230088495,10.654867256637168
27,27,8.857142857142858,8.803571428571429,10.571428571428571,10.303571428571429,11.607142857142858,10.464285714285714
28,28,8.72072072072072,8.612612612612613,10.27027027027027,10.072072072072071,11.315315315315315,10.018018018018019
29,29,8.527272727272727,8.327272727272728,10.145454545454545,9.945454545454545,10.981818181818182,9.727272727272727
30,30,8.293577981651376,8.073394495412844,9.944954128440367,9.688073394495413,10.715596330275229,9.26605504587156
31,31,8.0,7.833333333333333,9.833333333333334,9.38888888888889,10.5,8.981481481481481
32,32,7.757009345794392,7.644859813084112,9.719626168224298,8.990654205607477,10.16822429906542,8.74766355140187
33,33,7.528301886792453,7.415094339622642,9.264150943396226,8.679245283018869,9.90566037735849,8.452830188679245
34,34,7.314285714285714,7.180952380952381,8.971428571428572,8.361904761904762,9.58095238095238,8.323809523809524
35,35,7.076923076923077,6.980769230769231,8.576923076923077,8.307692307692308,9.153846153846153,8.038461538461538
36,36,6.834951456310679,6.834951456310679,8.174757281553399,7.902912621359223,8.893203883495145,7.728155339805825
37,37,6.764705882352941,6.588235294117647,7.686274509803922,7.823529411764706,8.764705882352942,7.372549019607843
