source,target,weight
0,20,1
0,21,1
0,47,1
0,57,1
0,58,1
0,59,2
0,62,1
0,63,2
0,72,1
0,102,1
0,104,1
0,126,2
0,138,1
1,20,2
1,21,2
1,90,1
1,91,2
1,92,2
1,101,1
1,112,1
1,118,2
1,137,2
1,138,2
2,5,2
2,17,1
2,18,2
2,23,1
2,37,1
2,72,1
2,86,2
2,94,2
2,100,1
2,123,2
3,14,1
3,15,1
3,43,1
3,70,1
4,27,2
4,105,1
4,117,2
4,120,2
5,6,1
5,14,1
5,17,1
5,18,3
5,22,1
5,23,2
5,24,2
5,25,3
5,26,1
5,27,2
5,30,1
5,36,3
5,37,3
5,40,1
5,42,1
5,47,1
5,48,1
5,52,1
5,56,6
5,62,1
5,63,2
5,72,6
5,73,4
5,86,3
5,87,1
5,93,1
5,94,7
5,95,2
5,96,1
5,99,2
5,100,1
5,104,3
5,113,3
5,114,1
5,117,2
5,120,4
5,122,1
5,123,3
5,124,1
5,126,1
5,131,1
5,135,1
6,22,1
6,25,1
6,30,1
6,37,1
6,40,1
6,42,1
6,48,1
6,56,1
6,62,1
6,63,1
6,72,1
6,73,1
6,93,1
6,94,1
6,95,1
6,96,1
6,104,1
6,122,1
6,126,1
6,131,1
6,135,1
7,8,4
7,9,1
7,10,1
7,11,1
7,25,3
7,32,1
7,33,2
7,51,2
7,57,1
7,59,1
7,60,1
7,61,1
7,62,1
7,63,1
7,69,1
7,80,1
7,98,2
7,103,2
7,104,2
7,107,1
7,115,1
7,116,2
7,119,3
7,122,1
7,126,1
7,128,1
7,135,1
7,136,1
8,9,1
8,10,1
8,11,1
8,14,1
8,24,1
8,25,6
8,31,1
8,32,3
8,33,4
8,34,1
8,35,1
8,36,1
8,40,1
8,51,4
8,56,1
8,57,2
8,59,2
8,60,1
8,61,2
8,62,3
8,63,2
8,69,1
8,72,1
8,73,3
8,80,1
8,83,1
8,87,1
8,95,1
8,96,1
8,98,6
8,102,1
8,103,5
8,104,4
8,107,1
8,108,1
8,109,3
8,110,1
8,113,1
8,115,1
8,116,6
8,119,8
8,120,1
8,121,1
8,122,5
8,126,1
8,128,1
8,135,1
8,136,1
9,10,1
9,11,1
9,25,1
9,115,1
9,116,1
9,119,1
10,11,1
10,25,1
10,115,1
10,116,1
10,119,1
11,25,1
11,115,1
11,116,1
11,119,1
12,27,1
12,39,1
12,41,1
12,42,1
12,53,1
12,54,1
12,56,1
12,65,1
12,68,1
12,73,1
12,87,1
